"EAPI Response Field","Field Info","EAPI Logic","PAPI System","PAPI Fields","Notes"
"data.customerName","string","CONCAT(firstName, ' ', lastName)","Customer Service","data.customer.firstName, data.customer.lastName","Combine first and last name"
"data.customerId","string","","Customer Service","data.customer.id","Direct mapping"
"data.email","string","LOWERCASE(email)","Customer Service","data.customer.email","Convert to lowercase"
"data.phoneNumber","string","FORMAT_PHONE(phone, '+1-XXX-XXX-XXXX')","Customer Service","data.customer.phone","Format phone number"
"data.accountBalance","number","","Calculation Engine","data.balance.currentAmount","Direct mapping"
"data.totalSpent","number","SUM(orders[].total)","Order Management","data.orders[].orderTotal","Sum all order totals"
"data.orders[]","array<object>","","Order Management","data.orders","Direct array mapping"
"data.orders[].orderId","string","","Order Management","data.orders[].id","Direct mapping"
"data.orders[].orderDate","string","FORMAT_DATE(date, 'YYYY-MM-DD')","Order Management","data.orders[].createdAt","Convert date format"
"data.orders[].amount","number","","Order Management","data.orders[].orderTotal","Direct mapping"
"data.preferences.language","string","DEFAULT(lang, 'en')","Customer Service","data.customer.preferredLanguage","Default to 'en' if null"
"data.preferences.notifications","boolean","","Customer Service","data.customer.notificationsEnabled","Direct mapping"
"data.loyaltyPoints","number","[CALCULATED]","Loyalty Service","data.loyalty.currentPoints, data.loyalty.bonusPoints","Calculate: current + bonus"
"data.membershipTier","string","EVALUATE_TIER(totalSpent)","[CALCULATED]","N/A","Business logic: <100=Bronze, 100-500=Silver, 500+=Gold"
"data.lastLoginDate","string","FORMAT_DATE(login, 'ISO8601')","Customer Service","data.customer.lastLogin","Convert to ISO8601"
"data.isActive","boolean","","Customer Service","data.customer.activeStatus","Direct mapping"
"data.address.street","string","","Customer Service","data.customer.address.street1","Direct mapping"
"data.address.city","string","","Customer Service","data.customer.address.city","Direct mapping"
"data.address.postalCode","string","FORMAT_POSTAL(zip)","Customer Service","data.customer.address.zipCode","Format postal code"
"data.address.country","string","UPPERCASE(country)","Customer Service","data.customer.address.countryCode","Convert to uppercase"
"data.recommendations[]","array<object>","[NOT AVAILABLE]","N/A","N/A","Requires ML service - not in current PAPI specs"
"data.promotions[]","array<object>","FILTER(promos, isActive=true)","Marketing Engine","data.promotions","Filter only active promotions"
"data.promotions[].code","string","UPPERCASE(code)","Marketing Engine","data.promotions[].promoCode","Convert to uppercase"
"data.promotions[].discount","number","PERCENTAGE(discount)","Marketing Engine","data.promotions[].discountValue","Convert to percentage"
"data.metadata.version","string","[HARDCODED: '1.0']","N/A","N/A","Static version number"
"data.metadata.timestamp","string","[GENERATED]","N/A","N/A","Generated at runtime"
